episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread
210,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.28,0.72,83.0,13,12,11,0.8164966106414795,2.0
211,18.8,0.376,50,3,13,1,3,0.26,0.74,100.0,11,10,16,2.624669313430786,6.0
212,20.2,0.40399999999999997,50,3,12,1,3,0.26,0.74,74.0,12,13,12,0.471404492855072,1.0
213,18.8,0.376,50,3,12,1,3,0.28,0.72,100.0,11,14,11,1.4142135381698608,3.0
214,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.24,0.76,83.0,13,13,12,0.471404492855072,1.0
215,18.8,0.376,50,3,13,1,3,0.28,0.72,100.0,11,13,12,0.8164966106414795,2.0
216,18.45,0.369,50,3,12,1,3,0.28,0.72,29.0,11,12,13,0.8164966106414795,2.0
217,18.799999999999997,0.37599999999999995,50,3,11,1,3,0.22,0.78,100.0,13,13,13,0.0,0.0
218,18.799999999999997,0.37599999999999995,50,3,11,1,3,0.22,0.78,82.0,14,13,12,0.8164966106414795,2.0
219,18.799999999999997,0.37599999999999995,50,3,11,1,3,0.22,0.78,83.0,14,13,12,0.8164966106414795,2.0
220,18.8,0.376,50,3,13,1,3,0.26,0.74,100.0,12,9,16,2.8674418926239014,7.0
221,18.8,0.376,50,3,13,1,3,0.28,0.72,100.0,11,13,12,0.8164966106414795,2.0
222,20.400000000000002,0.40800000000000003,50,3,12,1,3,0.24,0.76,52.0,12,14,12,0.9428090453147888,2.0
223,18.8,0.376,50,3,13,1,3,0.28,0.72,100.0,12,11,13,0.8164966106414795,2.0
224,18.8,0.376,50,3,13,1,3,0.26,0.74,100.0,12,11,14,1.247219204902649,3.0
225,20.2,0.40399999999999997,50,3,12,1,3,0.24,0.76,74.0,11,13,14,1.247219204902649,3.0
226,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.26,0.74,83.0,11,14,12,1.2472190856933594,3.0
227,18.8,0.376,50,3,13,1,6,0.28,0.72,100.0,12,10,14,1.632993221282959,4.0
228,18.8,0.376,50,3,13,1,3,0.28,0.72,100.0,12,11,13,0.8164966106414795,2.0
229,18.8,0.376,50,3,13,1,3,0.28,0.72,100.0,11,12,13,0.8164966106414795,2.0
230,18.799999999999997,0.37599999999999995,50,3,11,1,3,0.22,0.78,100.0,14,12,13,0.8164966106414795,2.0
231,19.0,0.38,50,3,12,1,3,0.24,0.76,63.0,13,13,12,0.471404492855072,1.0
232,18.8,0.376,50,3,13,1,3,0.28,0.72,100.0,11,12,13,0.8164966106414795,2.0
233,18.799999999999997,0.37599999999999995,50,3,11,1,3,0.26,0.74,83.0,13,14,10,1.699673056602478,4.0
234,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.26,0.74,79.0,14,12,11,1.247219204902649,3.0
235,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.24,0.76,83.0,13,13,12,0.471404492855072,1.0
236,19.0,0.38,50,3,12,1,3,0.24,0.76,42.0,12,13,13,0.471404492855072,1.0
237,18.8,0.376,50,3,13,1,9,0.26,0.74,100.0,11,10,16,2.624669313430786,6.0
238,18.8,0.376,50,3,12,1,3,0.24,0.76,100.0,10,16,12,2.4944381713867188,6.0
239,17.049999999999997,0.34099999999999997,50,3,11,1,3,0.26,0.74,32.0,13,13,11,0.9428090453147888,2.0
240,18.799999999999997,0.37599999999999995,50,3,12,1,9,0.26,0.74,83.0,11,14,12,1.2472190856933594,3.0
